cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
AT5G40590.1,AT2G37180.1,AT2G04160.1,AT2G37170.1,AT5G01490.2,AT1G20450.1,AT1G76970.1,AT4G36430.1
AT2G47550.1,AT4G12550.1,AT1G67270.1,AT3G59930.1,AT2G01270.2,AT5G02230.1,AT2G43050.1,AT1G17180.1
AT5G38940.1,AT2G36830.1,AT2G19190.1,AT1G64160.1,AT5G15640.2,AT1G64380.1,AT5G37540.1,AT5G24160.3
AT3G46280.1,AT5G15180.1,AT2G02010.1,AT1G01680.1,AT3G56210.2,AT2G16720.1,AT1G62790.2,AT5G23220.1
AT5G25440.1,AT5G47450.1,AT2G43620.1,AT3G09300.1,AT5G52260.1,AT3G09540.1,AT5G01620.1,AT5G43260.1
AT1G49570.1,AT5G65390.1,AT1G14550.1,AT5G15290.1,AT5G62420.1,AT1G62510.1,AT1G30220.1,AT4G36040.1
AT5G39580.1,AT1G75750.1,AT4G18170.1,AT5G33355.1,AT5G37490.1,AT3G51850.1,AT4G35100.1,AT5G26340.1
AT4G18940.1,AT4G38620.1,AT1G52343.1,AT5G60400.2,AT2G29220.1,AT1G62480.1,AT4G13620.1,AT5G65870.1
AT2G44578.1,AT1G72430.1,AT3G23250.1,AT4G15290.1,AT2G41880.7,AT5G46600.1,AT2G45900.3,AT3G26650.1
AT4G28850.1,AT5G10430.1,AT3G48920.1,AT2G19060.1,AT2G42120.2,AT2G47630.1,AT1G53610.1,AT5G64230.1
AT3G10720.2,AT1G22740.1,AT1G51920.1,AT4G40010.1,AT1G07135.1,AT2G02130.1,AT3G53980.2,AT3G10490.3
AT2G18350.1,AT4G17340.1,AT3G22240.1,AT1G54320.1,AT3G61610.1,AT2G31340.1,AT5G61020.1,AT2G18360.1
AT1G13480.1,AT5G44574.1,AT1G51680.1,AT2G42300.3,AT5G10740.1,AT1G35340.5,AT1G78880.1,AT5G08400.2
AT1G65570.1,AT2G34070.1,AT1G22360.1,AT5G19040.3,AT2G16530.1,AT2G15970.2,AT1G12080.2,AT5G19440.1
AT4G16710.1,AT1G23800.1,AT5G45280.2,AT5G54700.2,AT4G34640.1,AT3G45970.1,AT4G01140.1,AT3G44310.3
AT3G27950.1,AT3G16570.1,AT5G36907.1,AT3G62700.1,AT4G39880.1,AT3G56310.1,AT2G17120.1,AT1G55920.1
AT3G53180.1,AT4G23870.1,AT1G69920.1,AT5G04860.2,AT5G01640.1,AT4G24220.1,AT5G46900.1,AT1G33590.3
AT5G60530.1,AT5G02890.1,AT4G24570.1,AT5G19930.1,AT1G08500.1,AT3G14850.2,AT1G49730.1,AT4G15975.1
AT5G17330.1,AT2G40060.1,AT1G02810.1,AT2G23350.1,AT5G48900.1,AT3G56940.1,AT2G25760.2,AT5G10210.1
AT1G47600.1,AT1G30380.1,AT1G23560.1,AT1G52750.1,AT1G30290.1,AT1G20440.1,AT4G35100.2,AT4G11350.1
AT5G36880.3,AT5G09440.1,AT1G37130.1,AT5G43540.1,AT5G51160.1,AT5G35200.1,AT1G68300.1,AT4G14070.1
AT1G18420.1,AT4G20760.1,AT5G24110.1,AT4G23650.1,AT2G47810.1,AT5G62550.1,AT4G02260.2,AT1G75410.2
AT3G02240.1,AT5G67440.1,AT3G29000.1,AT3G29410.2,AT3G47110.1,AT3G04240.2,AT4G37940.4,AT5G63560.1
AT4G13390.2,AT3G26300.1,AT5G22300.1,AT5G64813.3,AT3G13432.1,AT2G23090.1,AT2G18800.1,AT4G01450.2
AT3G49960.1,AT3G16850.1,AT2G25810.1,AT1G03210.1,AT5G59680.1,AT2G26290.1,ATCG00480.1,AT1G06650.2
AT2G38870.1,AT1G08190.1,AT5G36925.1,AT4G11530.1,AT5G05360.2,AT1G10960.1,AT2G39210.1,AT2G43060.1
AT4G25220.1,AT3G53420.2,AT4G22470.1,AT5G56450.1,AT3G48940.1,AT3G11260.1,AT3G56000.1,AT1G73500.1
AT4G19680.2,AT1G77990.1,AT1G47130.1,AT5G24760.2,AT4G34390.2,AT1G13900.1,AT4G39000.1,AT1G72680.1
AT5G24140.1,AT3G27170.1,AT1G25275.1,AT1G78460.1,AT4G00755.1,AT3G56860.8,AT1G73410.1,AT5G49700.1
AT4G22080.1,AT2G34585.1,AT1G66160.1,AT4G22780.1,AT2G33560.2,AT5G58780.1,AT5G59880.1,AT2G43500.8
AT2G29000.1,AT4G12730.1,AT1G18980.1,AT2G41600.4,AT1G26240.1,AT5G25280.2,AT5G01750.2,AT1G54030.2
AT3G01730.1,AT4G35090.1,AT5G28610.1,AT2G42390.1,AT4G11280.1,AT3G51390.1,AT1G76180.2,AT1G76520.1
AT4G13390.1,AT5G03150.1,AT2G39400.1,AT1G51270.13,AT3G59090.1,AT2G30210.1,AT3G17430.2,AT3G16450.1
AT1G33610.1,AT5G46860.1,AT3G23570.1,AT4G33720.1,AT1G61560.2,AT4G33070.1,AT5G23870.3,AT1G19490.1
AT5G01620.2,AT3G61430.2,AT5G04020.1,AT3G48740.1,AT3G52920.1,AT3G62860.2,AT2G45560.1,AT1G21000.1
AT5G60950.1,AT2G32300.1,AT1G33030.1,AT4G35500.2,AT2G01320.6,AT3G26290.2,AT5G06220.3,AT2G38940.1
AT1G49030.1,AT3G18160.1,AT5G35525.1,AT2G14825.1,AT5G19740.1,AT4G34135.2,AT2G45960.1,AT3G11330.1
AT1G52760.1,AT4G36670.1,AT1G21590.1,AT5G64140.1,AT5G06900.1,AT5G63860.1,AT1G27670.1,AT3G13190.2
AT3G28580.1,AT5G44130.1,AT1G76470.1,AT5G65740.4,AT3G26830.1,AT1G50000.1,AT5G57080.1,AT1G60730.1
AT5G19340.1,AT4G26320.1,AT5G25460.1,AT5G01510.1,AT3G11230.3,AT1G75090.1,AT2G44300.1,AT1G79820.1
AT4G07960.2,AT2G31955.2,AT1G76930.2,AT2G47930.1,AT3G52400.1,AT1G14480.1,AT4G18700.1,AT5G11520.1
AT3G54150.1,AT2G20080.1,AT2G39450.1,AT3G16180.1,AT1G03660.1,AT5G55730.2,AT5G01550.1,AT4G27595.1
AT4G20450.1,AT5G03545.1,AT1G51390.1,AT5G63625.1,AT1G24240.1,AT3G22620.1,AT5G20680.6,AT2G37710.1
AT5G38700.1,AT4G27040.2,AT1G02930.2,AT2G44610.1,AT4G23980.1,AT3G61200.1,AT2G27960.1,AT1G19397.1
AT4G18950.1,AT3G22570.2,AT1G56250.1,AT5G10600.1,AT3G45880.2,AT5G43780.1,AT5G52280.1,AT4G25270.1
AT1G51850.2,AT2G35810.2,AT2G29460.1,AT4G08040.1,AT2G47910.1,AT1G64900.1,AT5G56870.1,AT2G01610.1
AT3G60280.1,AT4G22120.4,AT1G02930.1,AT3G02100.1,AT1G21090.1,AT4G05180.2,AT2G24250.2,AT3G49590.1
AT5G16920.1,AT5G19050.1,AT5G57090.1,AT3G62240.1,AT2G38170.3,AT4G36480.3,AT5G06370.1,AT2G32530.1
AT1G51800.1,AT5G52310.1,AT5G03500.4,AT4G10920.1,AT2G46620.1,AT1G54090.1,AT3G48180.1,AT5G28650.1
AT5G19880.1,AT5G24410.1,AT3G22850.1,AT4G16447.1,AT4G32640.2,AT5G03560.2,AT2G46370.2,AT2G41620.1
AT1G19380.1,AT3G61260.1,AT5G13330.1,AT2G48030.1,AT2G16750.2,AT1G53910.3,AT1G07320.3,AT5G63850.1
AT2G46860.1,AT3G59370.1,AT4G22540.3,AT1G74270.1,AT2G22800.1,AT1G66760.1,AT2G32260.1,AT2G45600.1
AT3G17860.1,AT1G65970.1,AT5G27610.1,AT2G25710.1,AT1G13310.1,AT4G33760.1,AT5G46890.1,AT5G49390.1
AT5G51060.1,AT5G05800.2,AT3G57470.4,AT4G39030.1,AT5G40330.1,AT4G17440.2,AT4G31140.1,AT2G03360.2
AT1G08320.4,AT2G33790.1,AT1G33540.1,AT5G37370.4,AT4G33790.1,AT1G15810.1,AT1G29050.1,AT3G21520.1
AT3G55720.1,AT4G02020.1,AT1G80190.5,AT3G23340.1,AT5G45590.1,AT5G48960.1,AT2G42040.1,AT3G01370.1
AT5G63270.1,AT4G16520.2,AT4G12840.2,AT5G10720.1,AT1G35230.1,AT3G51750.1,AT2G43900.2,AT3G17810.1
AT5G22410.1,AT3G18990.1,AT1G77380.1,AT5G14750.2,AT5G48630.1,AT4G20260.10,AT2G41190.1,AT5G53350.1
AT1G62440.1,AT3G22600.1,AT4G02330.1,AT4G29560.1,AT4G37680.5,AT1G12500.1,AT4G38040.2,AT1G25350.1
AT2G25300.1,AT2G20230.1,AT1G66180.1,AT3G02190.1,AT1G17560.1,AT3G46010.1,AT3G55450.2,AT5G13740.1
AT1G04280.2,AT4G24960.1,AT5G39610.1,AT1G52790.1,AT2G22250.2,AT4G21580.2,AT5G60870.1,AT3G02630.1
AT5G06630.1,AT3G09910.1,AT5G01540.1,AT3G47600.1,AT3G13030.4,AT1G79850.1,AT4G04960.1,AT3G50130.1
AT5G64110.1,AT1G66230.1,AT5G64905.1,AT5G51960.1,AT1G18570.1,AT4G28025.1,AT5G51290.2,AT3G46130.1
AT1G61380.1,AT2G36100.1,AT5G06740.1,AT3G02610.2,AT5G22875.1,AT1G52230.1,AT5G14890.1,AT2G23420.1
AT4G04570.1,AT3G26520.1,AT5G06860.1,AT1G53300.1,AT3G46000.1,AT4G12540.2,AT5G44530.2,AT4G22740.2
AT4G08620.1,AT3G01150.1,AT2G29200.1,AT5G37790.1,AT1G69790.2,AT1G76540.1,AT1G28090.5,AT2G46030.3
AT5G24070.1,AT2G18550.1,AT2G16500.1,AT5G10280.1,AT2G24720.1,AT2G27970.1,AT1G27180.8,AT3G62770.1
AT2G26070.1,AT5G59450.1,AT3G47380.1,AT2G22930.1,AT4G33200.4,AT1G54780.1,AT3G23510.1,AT5G09760.1
AT3G62680.1,AT5G20280.1,AT4G22690.1,AT1G09155.1,AT4G05420.1,AT1G10650.1,AT1G67650.1,AT5G24290.1
AT4G01700.1,AT3G49690.1,AT1G19180.3,AT5G19190.1,AT5G47770.1,AT1G74470.1,AT4G05450.1,AT2G46930.1
AT1G12950.1,AT1G04170.1,AT5G42830.1,AT1G27210.1,AT2G14440.1,AT1G76390.1,AT5G56540.1,AT1G77122.1
AT5G06640.1,AT4G25830.1,AT4G13090.1,AT3G01380.2,AT1G47230.2,AT5G03455.1,AT5G22040.2,AT2G41380.1
AT3G13610.1,AT5G60660.1,AT3G11840.1,AT5G58030.1,AT3G28930.3,AT3G10850.1,AT3G53420.1,AT5G51200.2
AT5G55400.2,AT5G45650.1,AT3G22160.1,AT5G20930.1,AT3G27150.1,AT1G35780.1,AT2G19480.2,AT5G40160.1
AT5G04960.1,AT5G53250.1,AT5G57190.1,AT5G23330.1,AT1G13390.1,AT1G22110.3,AT3G55790.1,AT2G36650.1
AT5G23010.1,AT1G01620.1,AT4G27100.2,AT1G61790.1,AT1G30300.2,AT1G10090.1,AT1G24735.1,AT5G64240.1
AT1G61860.1,AT2G34610.1,AT4G13300.1,AT4G10640.1,AT2G46020.4,AT5G55730.1,AT5G03380.1,AT5G35735.1
AT5G48070.1,AT5G42500.1,AT4G22710.1,AT2G28360.1,AT5G09290.1,AT1G73170.2,AT1G64960.2,AT1G14205.1
AT4G19030.1,AT2G28060.2,AT3G05160.1,AT4G39350.1,AT5G44860.1,AT5G23840.1,AT1G72230.1,AT1G79420.1
AT5G42980.1,AT2G45180.1,AT1G05675.1,AT4G35380.2,AT2G04070.1,AT3G11340.1,AT1G67440.2,AT3G50700.1
AT3G55560.1,AT2G03680.1,AT4G29780.1,AT4G14695.1,AT2G45460.4,AT3G47570.1,AT4G29210.2,AT4G01440.3
AT2G41100.1,AT2G14110.2,AT1G75820.1,AT3G50470.1,AT4G31710.1,AT1G80480.1,AT5G59720.1,AT5G44610.2
AT3G20960.2,AT2G39430.1,AT4G12440.3,AT4G32710.1,AT5G17165.1,AT4G18070.1,AT5G16600.1,AT5G64300.1
AT4G08400.1,AT4G30680.1,AT5G54130.2,AT3G24300.1,AT4G34240.3,AT5G56090.1,AT5G15630.5,AT4G25230.2
AT5G57540.1,AT5G37380.2,AT2G31540.1,AT3G57780.4,AT5G26667.1,AT2G23700.1,AT3G05900.2,AT2G41210.1
AT4G19030.2,AT2G37530.1,AT1G79160.1,AT4G05120.2,AT1G11360.4,AT5G12250.1,AT3G19515.2,AT3G25610.1
AT5G06270.2,AT5G16590.1,AT1G47990.1,AT5G32440.1,AT5G54230.1,AT1G13930.2,AT5G42600.1,AT5G37590.1
AT1G14600.1,AT4G14130.1,AT1G49360.1,AT5G66180.3,AT5G64010.1,AT5G17160.1,AT1G13450.4,AT5G20490.3
AT1G64930.1,AT5G54680.1,AT1G67910.2,AT2G36690.1,AT3G59730.1,AT3G03640.1,AT3G54140.2,AT5G63550.1
AT4G35630.1,AT5G26310.1,AT2G33770.1,AT2G46070.1,AT2G27402.2,AT1G56690.1,AT3G26380.1,AT2G39710.1
AT1G33600.2,AT2G41460.1,AT1G28390.1,AT3G14350.1,AT1G53970.1,AT3G51220.1,AT1G31460.1,AT5G45350.2
AT1G48850.1,AT5G66820.1,AT5G64780.1,AT2G36060.1,AT4G10140.1,AT1G20110.1,AT5G10350.6,AT5G59710.2
AT5G24313.1,AT1G79230.3,AT1G21120.1,AT4G28880.1,AT1G67690.1,AT1G12330.1,AT3G05220.2,AT2G15490.1
AT3G47740.1,AT1G17090.5,AT5G67440.3,AT5G40520.2,AT1G54095.1,AT4G30110.1,AT3G55420.1,AT4G23410.1
AT5G24570.1,AT1G76940.3,AT1G61560.4,AT2G23210.1,AT1G33490.2,AT2G33560.1,AT5G59990.1,AT3G29100.1
AT2G46210.1,AT5G57110.1,AT1G63830.4,AT3G55830.1,AT1G68390.1,AT2G02760.1,AT2G20880.1,AT1G65820.1
AT5G65690.1,AT1G62975.1,AT1G66270.1,AT1G34010.1,AT5G66060.1,AT3G15010.2,AT5G23210.1,AT4G12430.1
AT5G19830.1,AT3G06080.2,AT4G31730.1,AT4G15630.1,AT3G24460.2,AT1G15430.2,AT2G01910.2,AT1G48600.1
AT5G57530.1,AT2G13810.1,AT3G55410.1,AT1G74710.1,AT4G15430.2,AT2G43080.1,AT5G66080.2,AT4G32800.1
AT3G07490.1,AT1G55520.4,AT1G09840.8,AT1G55365.1,AT3G47200.2,AT1G50640.1,AT3G14240.1,AT1G27980.1
AT4G01830.2,AT3G09490.1,AT1G28600.1,AT3G50500.1,AT5G20120.1,AT5G20700.1,AT4G12230.1,AT1G69890.1
AT2G24980.3,AT2G15970.1,AT3G51480.1,AT2G02950.1,AT5G67520.3,AT3G21740.1,AT1G58070.1,AT3G08860.2
AT1G12040.1,AT4G35230.1,AT3G47800.1,AT2G30740.14,AT5G22570.1,AT2G14740.1,AT4G35920.1,AT3G08030.1
AT3G57550.1,AT3G05800.1,AT4G09720.6,AT5G48290.2,AT5G63440.1,AT4G34510.1,AT5G54530.1,AT3G20370.1
AT1G23720.1,AT1G61667.1,AT3G02242.1,AT1G01430.1,AT2G22425.1,AT3G03110.1,AT5G51590.1,AT1G77320.1
AT1G54970.1,AT2G28671.1,AT4G39952.1,AT1G10120.1,AT4G22810.1,AT1G79040.1,AT1G10370.1,AT5G13280.1
AT5G52670.1,AT1G62640.2,AT1G32740.2,AT2G35880.1,AT5G60570.3,AT5G06710.1,AT4G35060.1,AT5G16970.1
AT4G17570.1,AT3G13650.1,AT3G52155.1,AT2G40880.1,AT3G09860.1,AT1G55540.1,AT5G57070.1,AT3G27400.2
AT3G04500.2,AT5G66390.1,AT4G17500.1,AT3G47210.1,AT3G03670.1,AT1G07140.1,AT3G05900.1,AT3G43270.1
AT4G13770.1,AT2G03370.1,AT1G25220.1,AT1G80420.3,AT4G10130.5,AT2G20260.1,AT3G19320.1,AT4G13310.1
AT1G69430.1,AT5G10560.1,AT1G25275.3,AT2G30880.1,AT5G47710.2,AT2G22610.3,AT4G26980.1,AT1G28060.3
AT2G40150.1,AT4G37650.1,AT1G79450.2,AT5G15740.1,AT1G53760.1,AT5G19860.1,AT1G14345.1,AT4G22570.2
AT2G20520.1,AT4G25570.1,AT1G73100.1,AT2G32295.1,AT4G33740.1,AT1G44110.1,AT4G36890.1,AT2G45290.1
AT1G12740.1,AT1G18290.1,AT1G06550.1,AT1G27420.1,AT5G63510.2,AT3G15570.1,AT2G24580.1,AT2G28290.3
AT1G22440.1,AT4G24900.2,AT4G08850.2,AT1G10020.1,AT3G59800.2,AT3G20100.1,AT1G45130.2,AT1G49630.1
AT4G14040.1,AT5G42330.1,AT4G14880.2,AT2G17840.1,AT1G65484.1,AT5G60390.1,AT4G15765.1,AT1G26930.1
AT4G27280.1,AT1G69210.1,AT2G15280.2,AT5G13320.1,AT4G30230.1,AT3G25230.2,AT4G00430.1,AT2G33100.2
AT4G40090.1,AT4G02120.5,AT4G01600.3,AT3G57170.1,AT5G04800.1,AT3G21215.2,AT4G33120.1,AT2G32487.3
AT3G15810.1,AT4G38240.2,AT1G51980.1,AT5G05450.1,AT5G07670.1,AT2G30260.1,AT5G17310.2,AT1G72416.3
AT1G54450.1,AT2G39190.2,AT2G25940.1,AT3G47200.1,AT5G40230.1,AT5G43720.1,AT5G47430.4,AT1G72250.4
AT5G67400.1,AT5G60840.1,AT5G28850.2,AT3G01690.1,AT5G08335.1,AT4G32450.1,AT4G31470.1,AT5G11100.1
AT1G55450.1,AT1G16810.2,AT3G50310.1,AT3G08680.1,AT1G60660.1,AT2G34420.1,AT3G49500.3,AT3G57030.1
AT1G54890.1,AT1G06640.1,AT5G25475.2,AT4G35985.1,AT1G48520.1,AT3G02220.1,AT5G62480.1,AT3G14160.1
AT1G75410.1,AT2G32520.4,AT4G26630.2,AT2G47510.3,AT1G21170.2,AT1G04945.2,AT3G56480.1,AT5G64470.1
AT1G50050.2,AT2G28550.2,AT2G20440.3,AT5G46085.1,AT5G48110.1,AT1G64180.1,AT3G10070.1,AT5G08450.3
AT5G26080.1,AT5G65580.1,AT5G26260.1,AT4G23660.1,AT3G13710.1,AT1G55230.1,AT2G40810.1,AT4G37780.1
AT1G22830.2,AT4G31310.2,AT2G15760.1,AT2G22170.1,AT2G07180.2,AT3G48835.1,AT1G65720.1,AT5G39100.1
AT1G05450.2,AT3G55230.1,AT5G35740.1,AT1G48110.1,AT1G04445.2,AT1G78990.1,AT4G38070.1,AT4G05020.1
AT1G02430.1,AT2G01190.1,AT1G22930.1,AT1G04555.1,AT3G13430.2,AT4G34830.1,AT1G74510.3,AT4G34020.4
AT4G15160.1,AT4G17970.1,AT3G56060.1,AT1G10550.1,AT2G19620.3,AT3G24800.1,AT4G33740.4,AT3G02050.1
AT2G33110.1,AT2G02370.2,AT5G44568.1,AT5G04460.3,AT1G54950.1,AT5G24450.2,AT4G24670.1,AT3G05970.1
AT2G38290.1,AT1G30750.1,AT2G26870.1,AT2G25730.3,AT3G15520.1,AT5G41700.1,AT1G52820.2,AT1G09415.1
AT5G04310.2,AT1G09540.1,AT1G28380.1,AT5G65430.2,AT1G05835.1,AT1G76952.1,AT3G14440.1,AT2G17500.2
AT5G36260.1,AT4G10400.2,AT2G42700.3,AT1G07520.2,AT1G72820.1,AT5G60990.1,AT2G47500.1,AT5G59210.1
AT1G79860.1,AT5G53370.1,AT1G80820.2,AT2G01100.2,AT4G21910.1,AT4G02075.3,AT2G33385.2,AT1G19330.2
AT5G19800.1,AT5G51140.1,AT1G14380.1,AT4G26220.1,AT5G36170.2,AT2G06520.1,AT4G26910.3,AT1G60940.2
AT4G02270.1,AT4G27840.1,AT1G33340.1,AT3G07610.1,AT5G50230.1,AT5G13590.3,AT1G09610.1,AT3G04000.1
AT4G26010.1,AT4G23400.1,AT1G80900.1,AT1G08320.3,AT1G52820.1,AT1G05140.1,AT1G08550.2,AT1G51420.3
AT3G48090.2,AT2G15370.1,AT5G44180.1,AT3G47670.1,AT2G30260.2,AT2G23300.1,AT5G42220.1,AT1G74950.1
AT5G06990.1,AT2G26650.2,AT3G51730.1,AT5G58620.1,AT2G42395.1,AT5G11300.1,AT5G07020.1,AT1G47128.1
AT4G12250.1,AT3G01520.1,AT5G50380.1,AT1G64185.1,AT5G16790.1,AT3G10770.2,AT5G47530.1,AT5G38710.2
AT4G35380.1,AT2G06850.1,AT4G25900.1,AT3G51770.2,AT2G15390.1,AT4G38710.1,AT5G06760.1,AT5G58350.1
AT5G35190.2,AT2G45820.1,AT3G50760.1,AT3G19430.2,AT3G11500.2,AT5G13630.1,AT4G11020.1,AT3G59140.1
AT4G25820.1,AT3G06980.1,AT4G00760.1,AT4G11260.1,AT5G39380.5,AT1G14380.3,AT4G19990.6,AT2G18210.1
AT5G17530.5,AT5G08330.1,AT3G47730.1,AT3G07580.1,AT3G45850.2,AT2G21440.1,AT2G22660.1,AT5G26240.1
AT3G25900.1,AT1G73310.1,AT1G72450.1,AT5G27720.1,AT3G03130.1,AT4G38910.2,AT1G63910.1,AT2G43020.1
AT1G59850.1,AT1G80270.1,AT4G12350.1,AT2G23810.1,AT3G15760.1,AT2G39730.2,AT4G19185.2,AT3G46650.1
AT4G09570.1,AT4G12545.1,AT2G38480.1,AT1G31730.1,AT1G15720.1,AT1G07940.1,AT4G16670.3,AT1G20480.1
AT5G52370.1,AT1G66150.1,AT1G17980.1,AT1G53940.1,AT1G34490.1,AT2G46820.1,AT3G24820.1,AT4G01850.1
AT3G03090.1,AT1G15210.1,AT3G18300.1,AT2G36255.1,AT3G13435.1,AT3G02490.1,AT3G59200.2,AT5G65830.1
AT3G59910.1,AT2G31930.1,AT1G66480.1,AT1G55805.1,AT5G01230.1,AT2G33820.1,AT4G26990.1,AT1G06700.3
AT4G20460.1,AT1G08560.1,AT1G75440.1,AT1G66740.1,AT1G59780.2,AT5G10330.4,AT5G62340.1,AT5G01250.1
AT4G25790.1,AT2G22460.1,AT5G52320.2,AT1G06960.2,AT3G23180.2,AT5G38300.1,AT1G32100.1,AT4G15420.1
AT5G54490.1,AT1G28680.2,AT4G02760.8,AT4G39530.1,AT3G02840.1,AT2G32180.1,AT3G23730.1,AT4G36500.1
AT1G01780.1,AT1G14570.1,AT3G44260.1,AT5G38550.1,AT5G46150.2,AT5G62430.1,AT5G40010.1,AT5G10580.1
AT5G64120.1,AT5G40160.2,AT1G51890.2,AT1G22220.1,AT4G10170.1,AT2G31680.1,AT2G18380.1,AT1G02880.3
AT3G19200.1,AT5G13840.2,AT1G17580.1,AT1G48960.1,AT3G48460.1,AT2G04030.1,AT5G23750.1,AT4G32520.1
AT2G01670.1,AT3G24020.1,AT3G18950.1,AT3G20970.1,AT1G59750.3,AT5G57150.1,AT5G17870.1,AT5G18310.2
AT2G18450.1,AT5G19820.1,AT4G18950.2,AT3G54710.1,AT3G49850.1,AT2G47680.1,AT1G07770.1,AT5G06220.2
AT4G25110.1,AT5G52220.2,AT3G05040.1,AT1G04480.1,AT3G20090.2,AT1G09795.1,AT3G11630.1,AT1G10900.1
AT2G46370.1,AT4G16380.1,AT4G34050.1,AT5G43350.1,AT5G24520.1,AT1G80040.2,AT2G26540.1,AT4G21326.1
AT5G18470.1,AT1G06120.1,AT3G47590.1,AT4G04972.1,AT5G61190.9,AT5G40490.2,AT2G02820.2,AT2G28480.1
AT1G05700.1,AT5G23920.1,AT3G01510.2,AT4G02760.1,AT2G25297.2,ATCG01310.1,AT3G14660.3,AT5G64240.2
AT2G13790.1,AT2G47760.5,AT1G49670.1,AT1G07020.1,AT1G08530.2,ATCG00830.1,AT1G53050.1,AT4G14930.1
AT1G33612.1,AT1G78510.1,AT1G22410.1,AT3G11460.1,AT5G57970.2,AT2G01023.1,AT3G25700.1,AT1G64940.1
AT1G27740.1,AT5G36130.1,AT4G35220.1,AT5G61760.1,AT3G54030.1,AT4G09060.1,AT1G72160.1,AT3G08570.1
AT5G23510.3,AT5G25240.1,AT2G45220.1,AT5G62100.2,AT4G32850.10,AT5G06280.3,AT5G55960.1,AT4G00755.2
AT1G13540.1,AT1G55330.1,AT2G15980.1,AT5G23700.2,AT5G35870.1,AT1G24130.1,AT1G05710.2,AT5G58570.1
AT1G52050.1,AT1G20810.2,AT3G60490.1,AT2G42190.1,AT4G15000.2,AT1G30640.2,AT1G24600.1,AT1G74350.1
AT5G41730.1,AT2G28550.5,AT1G14460.1,ATCG00040.1,AT1G54250.1,AT5G46080.1,AT4G30660.2,AT5G62650.1
AT1G34510.1,AT3G56130.2,AT3G58750.1,AT5G49800.1,AT1G35610.1,AT1G09960.1,AT3G55990.1,AT3G56770.1
AT3G15710.1,AT4G27710.1,AT3G48700.1,AT1G18910.1,AT5G17210.1,AT4G27585.1,AT1G56230.1,AT1G71140.1
AT1G70460.1,AT5G51680.1,AT2G02370.1,AT1G70000.2,AT2G36740.1,AT1G56555.1,AT2G41050.4,AT4G18360.3
AT1G74790.1,AT1G71720.1,AT2G04500.1,AT1G54730.1,AT2G23620.1,AT1G68980.1,AT4G18375.2,AT1G31820.1
AT5G44565.3,AT3G06750.1,AT5G39110.1,AT4G12090.1,AT1G19700.2,AT5G09880.1,AT1G02030.1,AT4G19880.1
AT4G31020.1,AT3G29630.1,AT1G65730.1,AT3G22942.1,AT5G06320.1,AT5G09230.1,AT2G19260.1,AT1G78380.1
AT1G05250.1,AT5G19570.1,AT1G56600.1,AT5G07220.1,AT2G22000.1,AT4G02770.1,AT3G56990.2,AT4G20390.1
AT3G10710.1,AT3G22930.1,AT2G28400.1,AT2G17620.1,AT1G58470.1,AT3G07030.4,AT1G15110.1,AT3G07800.1
AT1G28170.1,AT1G33140.1,AT3G25740.1,AT5G10490.2,AT2G36620.1,AT1G02730.1,AT3G09050.1,AT5G53730.1
AT1G43160.1,AT2G21860.1,AT4G18195.1,AT1G14160.1,AT4G26120.2,AT1G33420.2,AT1G64430.2,AT4G01440.1
AT5G62260.1,AT3G50790.2,AT4G02210.1,AT3G61010.3,AT3G57710.1,AT1G01610.1,AT1G71860.3,AT3G49120.1
AT5G05500.1,AT2G27370.1,AT2G19560.1,AT1G74180.1,AT1G14290.1,AT4G35240.4,AT1G47655.1,AT1G69880.1
AT4G39170.1,AT5G09430.1,AT1G19430.1,AT3G51250.2,AT1G80940.4,AT1G05200.2,AT1G71930.1,AT1G32200.1
AT4G34930.1,AT5G16390.1,AT4G23330.4,AT5G03960.1,AT4G00020.1,AT5G58770.1,AT5G58710.1,AT2G34710.1
AT4G08410.1,AT2G43290.1,AT3G29810.1,AT1G05850.1,AT2G17530.2,AT1G22170.1,AT1G66270.2,AT2G37760.1
AT2G24170.1,AT5G35380.1,AT2G30720.1,AT1G24530.1,AT3G27360.1,AT1G77740.1,AT2G45500.3,AT2G29480.1
AT3G54590.1,AT1G19835.6,AT4G22530.2,AT3G46810.1,AT5G50450.1,AT4G01290.1,AT3G24660.1,AT1G01710.1
AT5G56190.2,AT5G65470.1,AT1G17260.1,AT1G19110.1,AT4G15950.1,AT4G28230.1,AT1G21730.1,AT3G15680.1
AT1G29310.1,AT5G45800.1,AT5G50760.1,AT4G34000.2,AT1G44780.2,AT4G38360.2,AT5G42250.1,AT1G69530.2
AT2G16380.1,AT5G52980.2,AT4G22070.1,AT3G62390.1,AT3G11385.1,AT5G22740.1,AT2G23120.1,AT4G23450.1
AT4G11393.1,AT1G73300.1,AT4G19700.1,AT1G03920.3,AT2G39400.2,AT1G55000.1,AT3G46550.1,AT3G25570.1
AT3G05010.1,AT5G66330.1,AT5G59500.2,AT3G12210.2,AT1G79020.1,AT3G54090.1,AT3G23090.5,AT1G55020.1
AT5G12170.2,AT4G27850.1,AT5G41850.1,AT5G38010.1,AT3G17160.1,AT2G03010.1,AT3G22540.1,AT5G66600.2
