SampleID	genotype	SynCom	compartment	flg22 	biological replicate	technical replicate
pwer111	unplanted	NS+S	agar	TRUE	b	1
pwer112	culture	NS	input	1	b	1
pwer113	culture	S	input	1	b	1
pwer114	culture	NS+S	input	1	b	1
pwer115	pWER::FLS2-GFP	NS	root	FALSE	c	1
pwer116	pWER::FLS2-GFP	NS	root	FALSE	c	2
pwer117	pWER::FLS2-GFP	NS	root	FALSE	c	3
pwer118	pWER::FLS2-GFP	NS	root	TRUE	c	1
pwer119	pWER::FLS2-GFP	NS	root	TRUE	c	2
pwer120	pWER::FLS2-GFP	NS	root	TRUE	c	3
pwer121	pWER::FLS2-GFP	S	root	FALSE	c	1
pwer122	pWER::FLS2-GFP	S	root	FALSE	c	2
pwer123	pWER::FLS2-GFP	S	root	FALSE	c	3
pwer124	pWER::FLS2-GFP	S	root	TRUE	c	1
pwer125	pWER::FLS2-GFP	S	root	TRUE	c	2
pwer126	pWER::FLS2-GFP	S	root	TRUE	c	3
pwer127	pWER::FLS2-GFP	NS+S	root	FALSE	c	1
pwer128	pWER::FLS2-GFP	NS+S	root	FALSE	c	2
pwer129	pWER::FLS2-GFP	NS+S	root	FALSE	c	3
pwer130	pWER::FLS2-GFP	NS+S	root	TRUE	c	1
pwer131	pWER::FLS2-GFP	NS+S	root	TRUE	c	2
pwer132	pWER::FLS2-GFP	NS+S	root	TRUE	c	3
pwer133	pWER::FLS2-GFP	NS	agar_plant	1	c	1
pwer134	pWER::FLS2-GFP	NS	agar_plant	2	c	1
pwer135	pWER::FLS2-GFP	S	agar_plant	1	c	1
pwer136	pWER::FLS2-GFP	S	agar_plant	2	c	1
pwer137	pWER::FLS2-GFP	NS+S	agar_plant	1	c	1
pwer138	pWER::FLS2-GFP	NS+S	agar_plant	2	c	1
pwer139	Col-0	NS	root	FALSE	c	1
pwer140	Col-0	NS	root	FALSE	c	2
pwer141	Col-0	NS	root	FALSE	c	3
pwer142	Col-0	NS	root	TRUE	c	1
pwer143	Col-0	NS	root	TRUE	c	2
pwer144	Col-0	NS	root	TRUE	c	3
pwer145	Col-0	S	root	FALSE	c	1
pwer146	Col-0	S	root	FALSE	c	2
pwer147	Col-0	S	root	FALSE	c	3
pwer148	Col-0	S	root	TRUE	c	1
pwer149	Col-0	S	root	TRUE	c	2
pwer150	Col-0	S	root	TRUE	c	3
pwer151	Col-0	NS+S	root	FALSE	c	1
pwer152	Col-0	NS+S	root	FALSE	c	2
pwer153	Col-0	NS+S	root	FALSE	c	3
pwer154	Col-0	NS+S	root	TRUE	c	1
