Gene,logFC,Fold,logCPM,LR,PValue,FDR
AT4G31940,-6.790277368,-110.6820429,7.576364319,107.0747816,4.29E-25,6.26E-23
AT4G15490,-6.339595609,-80.98571834,1.424259283,88.00736239,6.52E-21,7.09E-19
AT2G37770,-6.302027221,-78.90403761,1.270829618,85.90188242,1.89E-20,2.00E-18
AT5G16980,-6.024341156,-65.08896894,1.216409737,69.02756767,9.71E-17,7.36E-15
AT5G26120,-5.968732173,-62.6278381,0.822626856,67.00022834,2.71E-16,1.93E-14
AT1G74810,-5.49990675,-45.25190901,1.669015069,55.15472353,1.11E-13,6.30E-12
AT5G16960,-5.173070858,-36.07858514,1.102236656,65.76361676,5.08E-16,3.47E-14
AT3G28740,-4.924858794,-30.37597464,6.115874975,599.890683,1.77E-132,1.18E-128
AT2G36970,-4.761763037,-27.12898255,1.102657499,54.94024168,1.24E-13,6.98E-12
AT5G56080,-4.671616685,-25.48571079,5.5218123,272.4810794,3.27E-61,2.25E-58
AT1G08440,-4.626890065,-24.70772143,0.869871911,52.60854535,4.07E-13,2.14E-11
AT2G29220,-4.536311899,-23.20416533,2.4603375,99.67740434,1.79E-23,2.29E-21
AT4G25100,-4.417684584,-21.37251208,4.372329132,346.0240714,3.11E-77,4.15E-74
AT1G05680,-4.405380565,-21.19101175,4.692687225,209.9627252,1.40E-47,5.60E-45
AT5G16970,-4.217841021,-18.60787005,4.376775384,233.0109841,1.31E-52,6.26E-50
AT5G38910,-4.095474608,-17.09466929,3.527097268,47.45196831,5.64E-12,2.69E-10
AT3G28510,-4.023478832,-16.26251894,2.520821322,78.29918148,8.86E-19,8.17E-17
AT1G53970,-3.983324724,-15.81612994,0.355387657,20.66063374,5.48E-06,9.05E-05
AT2G44460,-3.885784213,-14.78214999,0.003651729,23.55728544,1.21E-06,2.32E-05
AT2G29250,-3.860545504,-14.52579786,0.549502433,36.17080988,1.81E-09,5.87E-08
AT3G55790,-3.841690207,-14.33718821,0.686193498,22.85335685,1.75E-06,3.20E-05
AT1G02850,-3.814111645,-14.06572143,5.669228744,602.1474933,5.71E-133,5.71E-129
AT4G08555,-3.810746477,-14.03295057,3.433473353,247.1111186,1.11E-55,5.99E-53
AT5G49130,-3.642500765,-12.48826166,0.310291785,27.02451539,2.01E-07,4.56E-06
AT4G22520,-3.622175266,-12.31355358,0.462046062,19.07453322,1.26E-05,0.000189581
AT3G28345,-3.58720766,-12.01868925,6.454775109,311.6168048,9.71E-70,9.71E-67
AT5G13370,-3.582436396,-11.97900683,3.958252509,230.4723685,4.70E-52,2.05E-49
AT1G76470,-3.523695231,-11.50106241,1.958600269,66.54346628,3.42E-16,2.38E-14
AT1G76680,-3.467321562,-11.06032261,8.076773101,496.7283163,4.90E-110,1.96E-106
AT1G17170,-3.416300647,-10.67600993,6.949964136,423.9375347,3.39E-94,6.17E-91
AT5G39050,-3.414588071,-10.6633443,3.640493729,180.5128408,3.74E-41,1.25E-38
AT2G29350,-3.34658443,-10.17237347,1.490362412,24.57350818,7.15E-07,1.44E-05
AT3G52970,-3.3110619,-9.924964212,0.235061521,14.65755799,0.000128917,0.001451001
AT1G76520,-3.303059126,-9.870061857,6.457061176,665.1839101,1.11E-146,2.23E-142
AT2G05380,-3.230480172,-9.38580295,3.514142459,117.6559254,2.06E-27,3.36E-25
AT1G67810,-3.185636006,-9.098545958,3.894235321,187.5732907,1.08E-42,3.71E-40
AT1G60730,-3.150652412,-8.880570817,6.269672045,494.8175686,1.28E-109,4.25E-106
AT1G60750,-3.079584166,-8.453707329,5.420274449,350.2375541,3.76E-78,5.38E-75
AT5G22890,-3.070460547,-8.400414679,1.841635762,53.19139621,3.03E-13,1.62E-11
AT2G44290,-3.030740555,-8.172290876,0.69680851,31.57089305,1.92E-08,5.24E-07
AT3G49580,-3.006812877,-8.037867954,0.969286915,24.95768396,5.86E-07,1.19E-05
AT3G23060,-2.980939673,-7.895002227,0.621438696,24.09540874,9.17E-07,1.81E-05
AT1G17180,-2.939430558,-7.671084527,7.073177655,247.7419078,8.07E-56,4.48E-53
AT4G12490,-2.879912126,-7.361052831,0.743907299,21.55064705,3.45E-06,5.95E-05
AT4G34135,-2.868663025,-7.303879808,6.798080624,583.2938397,7.20E-129,3.60E-125
AT4G12500,-2.866739995,-7.294150643,3.055772427,50.20497256,1.38E-12,6.91E-11
AT1G03050,-2.837674151,-7.148666509,-0.055472575,11.74439967,0.000610266,0.005442353
AT1G26390,-2.80408772,-6.984165373,4.712006816,49.09035858,2.44E-12,1.20E-10
AT3G48850,-2.775452348,-6.846906675,1.354142025,27.22992695,1.81E-07,4.18E-06
AT1G07985,-2.732905659,-6.647932157,0.950584701,32.52316716,1.18E-08,3.35E-07
AT5G48400,-2.730854996,-6.638489423,2.845507341,79.24445214,5.49E-19,5.21E-17
AT5G24090,-2.724466139,-6.60915641,4.590646292,249.5278008,3.29E-56,1.88E-53
AT1G73220,-2.72152776,-6.59570905,5.042000707,106.5169265,5.68E-25,8.18E-23
AT2G30140,-2.69612487,-6.480588683,4.388406929,270.1782855,1.04E-60,6.92E-58
AT5G61820,-2.689596942,-6.451331458,7.5079389,463.3437346,9.00E-103,2.57E-99
AT5G22300,-2.646092161,-6.259694118,3.064264142,76.43174306,2.28E-18,2.02E-16
AT1G78340,-2.627524396,-6.179646859,6.62644485,296.6279353,1.79E-66,1.43E-63
AT4G14368,-2.625124151,-6.169374185,1.59468805,35.55227,2.48E-09,7.86E-08
AT1G02580,-2.574353003,-5.956038184,0.939524398,26.73341251,2.34E-07,5.22E-06
AT2G19900,-2.573011229,-5.950501363,3.134106725,127.4746855,1.46E-29,2.84E-27
AT1G51840,-2.564307427,-5.914709971,1.733462159,45.63436703,1.43E-11,6.44E-10
AT4G02280,-2.557307488,-5.886081378,5.497434073,299.0675468,5.26E-67,4.39E-64
AT5G26690,-2.527146606,-5.764304732,0.439088288,15.39718351,8.71E-05,0.001040541
AT3G05400,-2.526461835,-5.761569369,1.006694653,25.63524079,4.12E-07,8.71E-06
AT3G26820,-2.50818648,-5.689044949,2.643175224,74.73102506,5.39E-18,4.61E-16
AT1G63560,-2.464408674,-5.519006843,1.644510387,45.0702503,1.90E-11,8.49E-10
AT5G43450,-2.435080804,-5.407946217,2.064172913,27.28154761,1.76E-07,4.09E-06
AT3G44300,-2.432449,-5.398089888,6.658768728,172.2048649,2.44E-39,7.63E-37
AT3G14620,-2.405877856,-5.299579366,2.149924336,43.7773597,3.68E-11,1.56E-09
AT1G58320,-2.394058606,-5.256340029,3.939401163,53.30788105,2.85E-13,1.53E-11
AT4G11170,-2.392886298,-5.252070558,1.853116327,30.34903446,3.61E-08,9.45E-07
AT4G04990,-2.37846708,-5.199839454,4.512796334,107.5096008,3.44E-25,5.07E-23
AT4G23280,-2.375719954,-5.189947533,1.69480304,31.60568606,1.89E-08,5.16E-07
AT1G69930,-2.370317242,-5.170548177,1.999056503,46.76402599,8.01E-12,3.77E-10
AT4G24510,-2.353597682,-5.11097198,0.739833134,25.62370647,4.15E-07,8.75E-06
AT2G29420,-2.328626894,-5.023270251,6.133121824,433.699817,2.54E-96,5.09E-93
AT1G53620,-2.32416,-5.007741179,0.588497462,15.72457468,7.33E-05,0.000904504
AT4G34131,-2.323829628,-5.006594556,6.436475734,308.2005199,5.39E-69,5.13E-66
AT1G76690,-2.320110031,-4.993703039,5.80974084,381.7010274,5.30E-85,8.85E-82
AT5G24080,-2.311969377,-4.965604563,0.132676325,11.6639805,0.000637219,0.005642486
AT1G33030,-2.311789731,-4.964986279,1.689824714,26.21289288,3.06E-07,6.62E-06
AT5G50260,-2.310775944,-4.961498593,3.442907939,89.66192237,2.83E-21,3.18E-19
AT4G00390,-2.310513307,-4.960595451,1.30678039,37.98678467,7.12E-10,2.42E-08
AT3G49130,-2.30676436,-4.947721723,0.894949584,22.88869621,1.72E-06,3.15E-05
AT5G09930,-2.299079539,-4.9214367,1.499225241,29.10480072,6.86E-08,1.72E-06
AT2G05510,-2.273917734,-4.836346914,7.365382297,172.0172007,2.68E-39,8.26E-37
AT5G06860,-2.248649014,-4.752376098,6.746756924,118.5599319,1.31E-27,2.20E-25
AT1G60740,-2.247964983,-4.750123367,2.475887434,57.96330712,2.67E-14,1.59E-12
AT4G15480,-2.246429564,-4.745070637,2.406881207,32.62469338,1.12E-08,3.20E-07
AT4G13180,-2.243679592,-4.736034506,7.014472021,325.719645,8.22E-73,8.66E-70
AT4G15310,-2.231639232,-4.696673261,0.110908124,9.298040999,0.00229399,0.016424806
AT1G72490,-2.220736695,-4.661313982,3.63397835,78.18122431,9.40E-19,8.63E-17
AT1G55850,-2.216099715,-4.646356059,6.143665521,456.711186,2.50E-101,6.25E-98
AT1G64950,-2.195774661,-4.581355959,4.921547723,230.5588366,4.50E-52,2.00E-49
AT4G15550,-2.186764197,-4.552831912,5.064062864,234.8917705,5.11E-53,2.50E-50
AT1G33102,-2.184342011,-4.545194433,0.773872599,25.21317743,5.13E-07,1.06E-05
AT3G30210,-2.182559798,-4.539583059,0.110436433,7.522888746,0.006091991,0.035930717
AT3G01420,-2.177215444,-4.522797629,9.374863395,251.5196477,1.21E-56,7.13E-54
AT1G71140,-2.168602476,-4.495876717,0.611657088,10.83164052,0.000997802,0.008186967
AT2G03360,-2.167144271,-4.491334802,2.647593715,78.76133716,7.01E-19,6.55E-17
AT3G19615,-2.165430739,-4.486003477,-0.033746483,6.998220836,0.008159077,0.045055035
AT2G30660,-2.15563741,-4.455654631,1.089075412,17.08773193,3.57E-05,0.000481639
AT5G39030,-2.147086994,-4.429325418,0.536269769,12.21952076,0.000472921,0.004408053
AT1G77450,-2.131291647,-4.381095452,4.901638233,244.0910232,5.04E-55,2.66E-52
AT1G17147,-2.109112734,-4.314258836,2.459424435,56.95009869,4.47E-14,2.62E-12
AT2G29490,-2.1062243,-4.305629857,6.032262296,356.2280096,1.87E-79,2.87E-76
AT1G61130,-2.096279537,-4.276052414,1.782606798,38.2440479,6.24E-10,2.16E-08
AT5G14730,-2.073486478,-4.209026165,4.065733589,118.661673,1.24E-27,2.11E-25
AT5G07860,-2.05455452,-4.154153484,4.132314073,122.0459759,2.26E-28,4.03E-26
AT2G29480,-2.052117024,-4.147140785,4.207152091,115.7961585,5.27E-27,8.30E-25
AT5G49690,-2.043895589,-4.123574832,1.846016355,38.47638507,5.54E-10,1.94E-08
AT4G14690,-2.042197732,-4.118724796,2.628579237,32.91144792,9.65E-09,2.77E-07
AT4G15760,-2.037706872,-4.105923853,6.239197418,262.8074479,4.19E-59,2.62E-56
AT1G79410,-2.036117336,-4.101402509,5.017219503,217.5939848,3.03E-49,1.24E-46
AT1G02230,-2.034536864,-4.096911885,1.251917278,22.7543546,1.84E-06,3.36E-05
AT3G13784,-2.031807716,-4.089169078,4.082118426,50.11728293,1.45E-12,7.21E-11
AT4G34138,-2.029304941,-4.082081371,6.622740724,200.5067751,1.62E-45,6.00E-43
AT4G40020,-2.026339928,-4.073700531,1.860732368,29.59178233,5.33E-08,1.36E-06
AT5G58570,-2.024735737,-4.069173337,0.616168745,14.80032035,0.000119515,0.00135817
AT1G52342,-2.005952819,-4.016538817,1.192344568,20.23212653,6.86E-06,0.000110076
AT1G55790,-1.996611457,-3.990615989,0.487944913,12.13003632,0.000496162,0.004577771
AT2G40250,-1.995457819,-3.987426205,0.492723563,12.85822854,0.000335999,0.003309056
AT2G04040,-1.981266578,-3.948395691,2.37580388,37.07860229,1.13E-09,3.78E-08
AT1G73120,-1.974835143,-3.930833191,6.032031776,58.27093609,2.28E-14,1.37E-12
AT1G59700,-1.973008026,-3.925858095,2.452841485,68.01813599,1.62E-16,1.19E-14
AT5G06900,-1.972220715,-3.923716252,0.554659271,8.115197541,0.004389569,0.027887001
AT2G28700,-1.971635384,-3.922124642,1.431923144,21.94232307,2.81E-06,4.94E-05
AT4G39000,-1.966873881,-3.909201312,1.077462387,35.94976846,2.02E-09,6.52E-08
AT3G51200,-1.959428904,-3.889079979,0.385377887,13.08347784,0.000297912,0.002989875
AT4G23700,-1.958944278,-3.88777379,4.586899767,66.54876263,3.41E-16,2.38E-14
AT2G29320,-1.957012198,-3.882570707,1.228387619,27.20353603,1.83E-07,4.22E-06
AT1G78380,-1.95489753,-3.876883896,9.94076715,335.83592,5.15E-75,6.44E-72
AT2G07698,-1.951199444,-3.866958934,0.252297942,11.50485202,0.000694148,0.006076785
AT1G05560,-1.948486285,-3.859693495,4.847847826,157.2619673,4.49E-36,1.25E-33
AT4G01870,-1.944715044,-3.849617335,6.327020489,135.4349705,2.65E-31,5.65E-29
AT5G51870,-1.935149296,-3.824176991,-0.155489185,4.171358532,0.041112822,0.149915859
AT2G04050,-1.931526062,-3.814584871,1.316821144,2.388559827,0.122226184,0.312116712
AT1G53610,-1.92107609,-3.787054254,1.46561879,22.10983867,2.57E-06,4.55E-05
AT3G14690,-1.907361463,-3.751224125,5.756569753,325.7349449,8.16E-73,8.66E-70
AT5G13320,-1.898813447,-3.729063714,1.166073694,12.0668328,0.000513268,0.004705233
AT3G47480,-1.893007004,-3.714085441,0.536470828,10.95640373,0.000932807,0.00773615
AT5G59520,-1.883502783,-3.689698117,2.844354657,53.50698988,2.58E-13,1.40E-11
AT1G68620,-1.881865219,-3.685512416,4.51394624,64.25339964,1.09E-15,7.25E-14
AT3G09220,-1.880486685,-3.681992493,6.73242929,125.1466847,4.73E-29,8.76E-27
AT1G01680,-1.879440704,-3.679323946,0.361240105,9.51327607,0.002039907,0.014920544
AT1G48260,-1.873814071,-3.665002218,4.619101245,126.1368164,2.87E-29,5.42E-27
AT5G17860,-1.870269764,-3.656009359,0.535357094,10.16441495,0.001431773,0.011114294
AT4G11020,-1.861046107,-3.632709768,0.16470337,11.32650509,0.000764086,0.006565429
AT2G23680,-1.852543045,-3.611362007,2.04778936,33.37540307,7.60E-09,2.23E-07
AT1G13310,-1.84991339,-3.604785437,1.137649389,24.68558458,6.75E-07,1.36E-05
AT5G63790,-1.844908542,-3.592301754,6.581744891,299.7307272,3.77E-67,3.28E-64
AT4G25380,-1.844030212,-3.590115383,0.527105655,14.30406329,0.000155529,0.00171579
AT2G41380,-1.84202725,-3.585134516,3.35134728,92.60572093,6.38E-22,7.56E-20
AT1G68350,-1.840766862,-3.582003786,0.331989768,13.07327289,0.000299539,0.003004702
AT3G24310,-1.83714503,-3.573022576,0.246129783,10.03606391,0.001535049,0.011742887
AT2G17500,-1.834669616,-3.566897147,6.862691091,187.7736283,9.73E-43,3.42E-40
AT3G09270,-1.827708685,-3.5497285,7.123501873,264.5843318,1.72E-59,1.11E-56
AT3G56400,-1.827420531,-3.549019574,2.546855795,27.09947182,1.93E-07,4.44E-06
AT2G15480,-1.824389044,-3.541569965,5.225473345,158.1669051,2.85E-36,8.02E-34
AT1G64940,-1.824355233,-3.541486967,1.76949548,26.49298333,2.64E-07,5.84E-06
AT2G27402,-1.824245315,-3.541217154,1.912198732,28.03971519,1.19E-07,2.84E-06
AT2G04070,-1.823784707,-3.540086733,1.072779517,12.66745936,0.000372075,0.003600561
AT5G07330,-1.81412001,-3.516450746,1.317242177,24.1640045,8.85E-07,1.75E-05
AT3G46613,-1.811711301,-3.510584614,0.172029912,8.312933969,0.003936375,0.025545956
AT4G29340,-1.802533074,-3.488321651,2.206226777,37.45326727,9.36E-10,3.14E-08
AT5G13930,-1.794076764,-3.467934774,8.001118348,123.4493097,1.11E-28,2.02E-26
AT1G18970,-1.772849239,-3.41728184,6.030934833,70.68000942,4.20E-17,3.23E-15
AT3G63380,-1.769896172,-3.410294126,4.716257118,65.87224229,4.81E-16,3.30E-14
AT1G51830,-1.767293995,-3.404148551,3.661983245,63.52692649,1.58E-15,1.04E-13
AT2G15220,-1.762936203,-3.393881523,5.256969831,81.13361644,2.11E-19,2.09E-17
AT5G11210,-1.762538009,-3.392944917,3.470805891,66.17159451,4.13E-16,2.84E-14
AT2G43590,-1.761746242,-3.391083344,6.723104821,103.6003266,2.48E-24,3.39E-22
AT1G53625,-1.759545013,-3.385913255,2.874881553,35.9906209,1.98E-09,6.40E-08
AT3G24290,-1.759087983,-3.384840804,0.404390581,7.912700625,0.004908893,0.03035747
AT2G40340,-1.743777478,-3.349109342,1.284120589,18.17131173,2.02E-05,0.000288186
AT1G21680,-1.742366098,-3.345834531,5.382138858,121.491946,2.98E-28,5.23E-26
AT1G47890,-1.739653353,-3.339549163,2.167726936,23.33041338,1.36E-06,2.57E-05
AT5G38900,-1.714220684,-3.28119352,2.928381269,31.42953815,2.07E-08,5.62E-07
AT1G62510,-1.712971686,-3.27835409,2.498339968,19.06700517,1.26E-05,0.000190187
AT3G59140,-1.707198037,-3.265260372,4.76233279,127.9777268,1.14E-29,2.25E-27
AT5G65330,-1.70083324,-3.25088662,0.209269034,6.800478719,0.009113343,0.048907543
AT1G13520,-1.694091139,-3.235729798,4.318769426,80.13226716,3.50E-19,3.42E-17
AT3G49120,-1.691084663,-3.228993783,7.447262086,106.0646181,7.14E-25,1.02E-22
AT5G57785,-1.686278049,-3.218253675,2.370444474,31.14181496,2.40E-08,6.45E-07
AT2G21140,-1.685746277,-3.217067656,1.68348442,28.29373499,1.04E-07,2.53E-06
AT3G04000,-1.668992438,-3.179924336,1.228328961,20.64659604,5.52E-06,9.11E-05
AT1G55920,-1.660528486,-3.161323086,6.442144879,232.9224565,1.37E-52,6.40E-50
AT4G18350,-1.659527288,-3.159129961,0.593397504,8.172873263,0.00425215,0.027177904
AT3G53150,-1.657656088,-3.155035171,3.552077372,58.8319882,1.72E-14,1.04E-12
AT5G20790,-1.655760796,-3.150893072,1.722950056,23.02625978,1.60E-06,2.95E-05
AT4G11100,-1.653021019,-3.144914988,0.832275194,12.37752235,0.000434533,0.004107644
AT3G23560,-1.651945937,-3.142572301,6.325704956,439.6746962,1.27E-97,2.83E-94
AT1G13500,-1.651108999,-3.140749756,2.859650144,57.04102147,4.27E-14,2.50E-12
AT5G09730,-1.651035318,-3.140589357,0.278716824,6.779359754,0.009221796,0.049330817
AT4G12480,-1.644057322,-3.1254357,2.345538867,26.33605852,2.87E-07,6.25E-06
AT5G24600,-1.640639195,-3.118039479,0.777624866,12.78321545,0.000349743,0.003422524
AT1G71520,-1.638695512,-3.113841502,2.093850123,39.29241045,3.65E-10,1.32E-08
AT5G13750,-1.635962769,-3.107948869,6.929499421,306.5962791,1.20E-68,1.10E-65
AT5G49480,-1.633716797,-3.103114211,6.889505637,142.2311089,8.66E-33,1.97E-30
AT5G27600,-1.629226789,-3.093471601,5.741298118,275.0585,8.96E-62,6.41E-59
AT2G18328,-1.625262451,-3.084982811,0.153842614,7.310046731,0.006857014,0.039352616
AT3G14660,-1.623701928,-3.081647675,6.655846079,235.9278721,3.04E-53,1.52E-50
AT4G37030,-1.62361874,-3.081469988,2.76530107,33.3812844,7.57E-09,2.22E-07
AT4G19810,-1.623203336,-3.080582849,6.623804775,120.9963231,3.83E-28,6.66E-26
AT5G50240,-1.622515009,-3.079113418,1.275944975,14.6668655,0.000128282,0.00144548
AT5G54165,-1.615620754,-3.064434256,0.522732627,9.590893337,0.001955448,0.014413415
AT3G08040,-1.613593408,-3.060130987,5.233567935,75.67903251,3.34E-18,2.93E-16
AT1G09176,-1.603173933,-3.038109635,0.089160379,6.980842764,0.00823868,0.045394403
AT3G12500,-1.602169928,-3.035996081,6.618360573,134.7183218,3.80E-31,8.02E-29
AT3G47780,-1.600358928,-3.032187417,6.69336945,177.7809416,1.48E-40,4.85E-38
AT1G32960,-1.598055881,-3.027350844,0.661315723,10.14232545,0.001449032,0.011204806
AT1G10370,-1.59257565,-3.015872943,3.020549497,72.61852536,1.57E-17,1.29E-15
AT2G03410,-1.586891329,-3.004013567,-0.115499454,3.720252895,0.053756229,0.18122804
AT1G19250,-1.580971913,-2.991713272,1.772657059,16.03947286,6.20E-05,0.000784738
AT5G10230,-1.572713557,-2.974636862,4.159663545,82.57540359,1.02E-19,1.02E-17
AT5G48410,-1.569523852,-2.968067397,3.667868608,62.16833516,3.15E-15,2.02E-13
AT4G33666,-1.568349197,-2.965651754,2.784908533,39.96287581,2.59E-10,9.57E-09
AT1G53560,-1.559342315,-2.947194583,3.289791765,76.17732014,2.59E-18,2.29E-16
AT5G64250,-1.556543608,-2.941482816,6.321541113,185.1714937,3.60E-42,1.22E-39
AT5G43860,-1.554769064,-2.937866958,0.729136807,12.26464432,0.000461621,0.004324889
AT2G29500,-1.55406562,-2.936434832,2.774347018,72.09267896,2.05E-17,1.64E-15
AT1G51420,-1.552150539,-2.932539496,5.871984556,204.0589736,2.72E-46,1.05E-43
AT3G60420,-1.543921473,-2.915860041,1.589443335,15.55908928,8.00E-05,0.000972227
AT5G17000,-1.543907592,-2.915831986,4.766303465,133.3037984,7.76E-31,1.62E-28
AT5G51500,-1.542710351,-2.913413244,4.031320058,72.18754055,1.96E-17,1.58E-15
AT5G25920,-1.534251073,-2.89638036,0.32144077,6.909876663,0.00857209,0.046793419
AT2G37760,-1.519214606,-2.866349649,5.427676998,333.6876739,1.51E-74,1.78E-71
AT1G01720,-1.515042068,-2.858071617,6.273115665,192.5874637,8.66E-44,3.15E-41
AT2G26560,-1.513694998,-2.855404231,4.326367077,28.80772126,7.99E-08,1.98E-06
AT5G07870,-1.511413332,-2.850891892,5.080823713,228.4279155,1.31E-51,5.59E-49
AT5G48010,-1.506173547,-2.840556397,5.544825273,43.84182288,3.56E-11,1.51E-09
AT2G25625,-1.502613182,-2.833554954,0.142839762,4.497431599,0.033945804,0.130560252
AT4G22530,-1.49371885,-2.816139595,4.756264034,146.356806,1.08E-33,2.62E-31
AT5G50270,-1.491862188,-2.812517725,0.874457176,12.71525642,0.000362685,0.003535335
AT4G15610,-1.490445383,-2.809757034,7.381974675,158.4619314,2.45E-36,7.01E-34
AT1G33100,-1.489747267,-2.808397731,1.310682805,25.03736547,5.62E-07,1.16E-05
AT3G56980,-1.48954468,-2.808003394,3.788782458,40.39815317,2.07E-10,7.87E-09
AT3G12700,-1.487634689,-2.804288325,5.935257479,154.9868233,1.41E-35,3.81E-33
AT2G38340,-1.483914236,-2.797065883,0.840631179,7.767134414,0.005320539,0.032353274
AT2G34610,-1.483451577,-2.796169034,2.510604543,40.17116327,2.33E-10,8.74E-09
AT2G31945,-1.480335663,-2.79013642,3.13585853,33.61573379,6.71E-09,1.99E-07
AT2G29460,-1.478003948,-2.785630585,2.920087677,36.11087246,1.86E-09,6.05E-08
AT2G46680,-1.472908259,-2.775808919,4.92964836,127.8968197,1.18E-29,2.32E-27
AT1G23110,-1.464996028,-2.760627106,0.155904709,6.303255791,0.012051643,0.06019769
AT3G61120,-1.455705952,-2.742907466,0.148262943,5.334085239,0.020912312,0.091306521
AT2G41730,-1.453588465,-2.738884569,1.217859953,6.641171878,0.009964836,0.052285345
AT1G66700,-1.452599672,-2.737008038,3.010569886,10.20697325,0.001399106,0.010911501
AT4G25010,-1.451771884,-2.735438053,0.537067901,6.372783103,0.011588371,0.058473647
AT1G07430,-1.450487224,-2.733003342,0.119512247,6.543822713,0.010524895,0.054535871
AT4G27810,-1.449749087,-2.731605393,0.627101446,8.268480827,0.004033925,0.026032538
AT3G28210,-1.44466923,-2.722004082,3.489960664,53.39317074,2.73E-13,1.47E-11
AT3G22370,-1.441370328,-2.71578699,5.818339067,99.83210338,1.66E-23,2.13E-21
AT1G22810,-1.439415148,-2.712108975,1.084020789,7.995725936,0.00468879,0.029331685
AT3G28750,-1.434475255,-2.702838396,1.061695287,20.8055804,5.08E-06,8.44E-05
AT5G65170,-1.433571215,-2.70114524,3.806039232,82.50181663,1.06E-19,1.06E-17
AT4G01935,-1.42986949,-2.694223417,0.689262225,9.109333491,0.002543085,0.017894592
AT5G66780,-1.429480356,-2.69349681,1.15786986,13.60507242,0.000225575,0.002356434
AT2G02120,-1.422656138,-2.680786149,3.541173492,26.70569234,2.37E-07,5.29E-06
AT1G14130,-1.417139448,-2.670554725,4.615252319,113.5371881,1.65E-26,2.55E-24
AT1G26410,-1.41666784,-2.66968188,1.635186677,5.966867849,0.014577151,0.069655668
AT3G50260,-1.411355919,-2.659870337,3.822131038,89.05462068,3.84E-21,4.27E-19
AT4G11650,-1.411077558,-2.659357178,7.905686822,99.41076027,2.05E-23,2.60E-21
AT4G37310,-1.405571312,-2.649226716,3.965182149,89.77582641,2.67E-21,3.02E-19
AT4G33550,-1.403196179,-2.644868838,1.642664296,21.51127316,3.52E-06,6.04E-05
AT5G45380,-1.402893144,-2.644313348,6.304767979,85.76728365,2.02E-20,2.13E-18
AT4G38340,-1.396823492,-2.633211661,2.344404973,39.99168148,2.55E-10,9.47E-09
AT1G07460,-1.395801236,-2.631346498,0.236815592,6.028687718,0.014075194,0.067815119
AT3G12900,-1.394682552,-2.629306909,6.694608117,16.17907661,5.76E-05,0.000738779
AT4G04840,-1.393018342,-2.62627564,1.496859646,27.55910518,1.52E-07,3.58E-06
AT4G12290,-1.392982167,-2.626209788,1.262095453,16.15527315,5.84E-05,0.000746009
AT2G43510,-1.392596296,-2.625507462,2.578164628,11.34814423,0.000755234,0.006506131
AT5G59540,-1.387626899,-2.616479398,4.225371928,103.0195556,3.32E-24,4.49E-22
AT1G63750,-1.385743819,-2.613066461,2.661984659,27.04371525,1.99E-07,4.53E-06
AT2G34500,-1.379636938,-2.602028814,4.242629814,32.50501203,1.19E-08,3.37E-07
AT5G01225,-1.377851708,-2.598810984,0.432108794,5.886669134,0.01525593,0.072124183
AT3G44310,-1.377246554,-2.597721113,7.081237027,202.4677265,6.04E-46,2.28E-43
AT5G04950,-1.373960868,-2.591811628,7.528156593,47.11255494,6.70E-12,3.18E-10
AT4G21380,-1.37208453,-2.588442966,1.113854879,7.174665333,0.007394024,0.041560392
AT4G19880,-1.369373739,-2.583583908,8.436707134,284.1215518,9.49E-64,7.31E-61
AT3G01970,-1.366997143,-2.579331394,3.011213729,24.74809177,6.53E-07,1.32E-05
AT3G19800,-1.366258523,-2.578011185,0.676652325,8.021260914,0.004623137,0.029011672
AT4G33970,-1.364119077,-2.574190954,0.263002408,4.634995211,0.031326232,0.123037865
AT3G45820,-1.362307291,-2.570960226,0.253528147,4.766670079,0.029015896,0.116599619
AT5G14650,-1.355618303,-2.55906768,7.923286577,48.7423232,2.92E-12,1.42E-10
AT4G24420,-1.351052332,-2.550981316,0.275407714,5.128585289,0.023534903,0.099594095
AT5G06300,-1.34941537,-2.548088471,5.954045629,138.8815531,4.68E-32,1.04E-29
AT5G08790,-1.34779262,-2.545223981,6.017420537,105.5607005,9.20E-25,1.30E-22
AT2G16960,-1.342533239,-2.535962196,0.398708231,3.894652567,0.048440057,0.1682468
AT2G18193,-1.33963832,-2.530878624,4.219125581,38.74152744,4.84E-10,1.72E-08
AT3G15670,-1.339256005,-2.530208028,-0.003656996,3.121021574,0.077288315,0.232480651
AT1G33110,-1.337528725,-2.527180526,5.832857648,167.4404139,2.68E-38,8.01E-36
AT1G22110,-1.335897114,-2.524324036,0.411554146,7.797762027,0.005231098,0.031935553
AT1G12200,-1.335686651,-2.52395581,5.692718295,161.1048832,6.49E-37,1.88E-34
AT1G52820,-1.333038388,-2.519326995,3.396751935,17.69374076,2.59E-05,0.000362365
AT4G37520,-1.332322656,-2.518077448,7.684976685,139.7361641,3.04E-32,6.84E-30
AT1G02205,-1.32991323,-2.51387555,1.245771264,15.57337866,7.94E-05,0.00096608
AT2G46750,-1.328855106,-2.512032459,7.288621887,67.69980889,1.90E-16,1.39E-14
AT1G32510,-1.325087074,-2.505480091,1.572330376,18.95174917,1.34E-05,0.00020024
AT4G23680,-1.324131275,-2.503820737,3.988709795,37.64595147,8.48E-10,2.87E-08
AT2G05430,-1.320377176,-2.497313907,0.551608037,6.314727585,0.011973914,0.059905492
