Gene,logFC,Fold,logCPM,LR,PValue,FDR
AT1G55330,-0.095392518,-1.068356039,6.037997014,0.206842643,0.649253444,0.821968743
AT5G41960,-0.095373015,-1.068341596,3.611352635,0.653696175,0.418794292,0.653940335
AT4G13930,-0.095322057,-1.068303862,8.999700313,1.062280118,0.302695718,0.541719419
AT3G55350,-0.095307953,-1.068293418,3.800570762,0.567476462,0.451263449,0.683091817
AT5G40640,-0.095283732,-1.068275483,4.677860861,0.947094558,0.330459957,0.570881018
AT1G08530,-0.095274304,-1.068268502,3.257411701,0.421135322,0.516371084,0.734396901
AT5G66950,-0.095214937,-1.068224543,6.315028965,2.335841762,0.126426633,0.319531419
AT4G36210,-0.095212453,-1.068222704,6.661299477,3.198556666,0.073703289,0.224942841
AT2G41420,-0.095166972,-1.068189029,5.687596123,1.586365133,0.207846225,0.434767288
AT1G71190,-0.095082603,-1.068126563,4.839156257,0.864342591,0.352526295,0.593634821
AT5G65495,-0.09500848,-1.068071686,3.314404125,0.349040606,0.554656723,0.761093687
AT3G55410,-0.094986746,-1.068055596,8.131798556,1.427756077,0.232130997,0.463154042
AT1G69160,-0.094972057,-1.068044721,4.341964769,0.50393306,0.477777049,0.704899943
AT4G00150,-0.094945904,-1.06802536,5.697918655,0.971558082,0.324291905,0.56471716
AT4G28400,-0.094862248,-1.067963432,5.455282787,1.206549827,0.272016498,0.509471583
AT1G70090,-0.094801198,-1.06791824,4.2018983,0.468603303,0.493630417,0.717600374
AT4G28370,-0.094757056,-1.067885565,5.300844286,1.126813974,0.288455946,0.526215167
AT4G15560,-0.094688759,-1.067835013,7.177720872,1.912503331,0.16668545,0.378342768
AT4G33680,-0.094683473,-1.0678311,6.461704177,1.190492921,0.275230151,0.512268022
AT1G73490,-0.094632879,-1.067793653,5.727290455,1.466973487,0.225823817,0.456206968
AT1G60030,-0.09458812,-1.067760526,2.500777713,0.261841015,0.608858165,0.796006375
AT5G52850,-0.094575752,-1.067751372,2.087379024,0.206693944,0.64937109,0.822050719
AT1G10200,-0.094529176,-1.067716901,5.652381962,1.753722991,0.185409384,0.404934257
AT2G21850,-0.094528524,-1.067716419,5.465577453,1.141894573,0.28525235,0.522545179
AT1G06450,-0.094524605,-1.067713518,2.679420204,0.321066887,0.570967189,0.772248945
AT5G05170,-0.094435514,-1.067647586,9.675165158,2.191502822,0.138773857,0.338622082
AT5G14870,-0.09441792,-1.067634566,0.697917499,0.049837022,0.82334711,0.918594099
AT5G47030,-0.094408169,-1.06762735,8.160138721,2.061692599,0.151042315,0.356938685
AT3G56320,-0.094402756,-1.067623344,3.955356872,0.736353489,0.390831495,0.62963451
AT5G16940,-0.094301712,-1.067548572,1.979655932,0.190949776,0.6621273,0.830120731
AT5G63190,-0.094223859,-1.067490965,7.703964986,1.440580671,0.230045398,0.461190049
AT1G01070,-0.094158998,-1.067442973,5.813218932,1.116386279,0.290697914,0.528666545
AT3G25980,-0.094138185,-1.067427574,4.721654976,0.951240655,0.3294037,0.569653202
AT5G12150,-0.094130205,-1.06742167,6.777199898,2.530574265,0.111659573,0.29537017
AT4G02210,-0.094089543,-1.067391585,2.936546458,0.316809124,0.573531584,0.774252163
AT3G24480,-0.094011772,-1.067334047,6.824786804,0.435425282,0.509338782,0.729418041
AT5G39450,-0.094006283,-1.067329986,3.469791978,0.418078864,0.517897214,0.735881784
AT4G27180,-0.093994464,-1.067321243,6.612752088,2.058015804,0.151407212,0.357377993
AT1G23980,-0.093960857,-1.06729638,2.888419116,0.357045013,0.550151957,0.757978724
AT4G21105,-0.093957101,-1.067293601,7.309570812,0.531234948,0.466088124,0.694328797
AT1G27770,-0.093950605,-1.067288796,7.027386798,1.690962471,0.193474143,0.415474251
AT3G52920,-0.093905905,-1.067255728,5.714053316,1.210138417,0.271304711,0.508937933
AT3G12560,-0.093896994,-1.067249135,5.818125967,2.064429585,0.150771335,0.356689437
AT1G48210,-0.093891807,-1.067245298,4.803914349,0.842196273,0.35876939,0.600358979
AT4G22780,-0.093884955,-1.06724023,4.582798337,0.738683886,0.390082803,0.629086715
AT1G77490,-0.093881281,-1.067237511,2.304651224,0.186519958,0.665828949,0.832265392
AT3G59670,-0.093808702,-1.067183822,5.591746412,1.442057628,0.229806662,0.461049139
AT3G02820,-0.093794682,-1.067173451,2.994190344,0.337050308,0.561536809,0.765704185
AT5G20930,-0.093757068,-1.067145629,4.768643537,1.051059026,0.30526331,0.544467857
AT5G22740,-0.093713035,-1.067113059,8.088091518,1.791989483,0.180683952,0.397826741
AT1G04710,-0.093646668,-1.06706397,3.643981316,0.738883871,0.390018649,0.629033946
AT5G55670,-0.093611208,-1.067037743,5.801397047,1.648279238,0.199193298,0.423394188
AT1G19720,-0.093553011,-1.066994701,3.559213154,0.336910884,0.561617769,0.765758439
AT1G07780,-0.093547968,-1.066990971,2.675982196,0.217826752,0.640700837,0.816721984
AT5G06410,-0.093388292,-1.066872884,3.054665675,0.346393035,0.556162082,0.762260355
AT2G22570,-0.093387933,-1.066872619,4.395562534,0.751034932,0.386148763,0.625464107
AT4G23620,-0.093345883,-1.066841523,4.835274505,0.675570692,0.411116126,0.64836059
AT2G41250,-0.093324481,-1.066825697,5.374584433,0.540386635,0.462272537,0.69178101
AT1G56230,-0.093280904,-1.066793474,5.849012699,2.083345289,0.148913507,0.353673998
AT3G51520,-0.093275487,-1.066789468,5.885125022,2.045474967,0.152659332,0.35891949
AT2G26890,-0.093271204,-1.066786301,7.895304481,1.669639418,0.196306838,0.419531445
AT4G11070,-0.093189375,-1.066725795,2.240372626,0.170966867,0.679253948,0.839969722
AT4G08790,-0.093101323,-1.066660692,2.956319823,0.36214621,0.547316695,0.756102561
AT5G46530,-0.093052579,-1.066624653,3.82591144,0.638575978,0.424226927,0.659081536
AT1G45201,-0.093050976,-1.066623468,7.114431446,0.610534256,0.434586724,0.668079097
AT2G28440,-0.093034649,-1.066611397,3.171742708,0.345498474,0.556672463,0.762488763
AT5G67560,-0.092995228,-1.066582253,5.556490318,1.701704806,0.192065177,0.413558028
AT2G28315,-0.092990929,-1.066579075,3.889250742,0.545615339,0.46011482,0.690034305
AT1G69360,-0.092894957,-1.066508125,5.731012093,0.773043227,0.379277249,0.619852105
AT4G31750,-0.092845373,-1.066471471,5.30969099,1.189134786,0.27550415,0.512531394
AT1G52310,-0.092843719,-1.066470248,5.071103738,1.002408461,0.316728432,0.557219286
AT1G62670,-0.092816324,-1.066449997,2.180343906,0.171487316,0.678793352,0.839763387
AT3G01870,-0.092800716,-1.06643846,1.543685705,0.097687452,0.754622632,0.882148964
AT5G57580,-0.092798836,-1.06643707,6.538203446,2.201266038,0.13789744,0.337230373
AT4G33300,-0.09276888,-1.066414928,7.203988847,2.01624085,0.155623997,0.363200592
AT2G44770,-0.09271607,-1.066375892,5.645596327,1.147165435,0.28414331,0.521820311
AT1G73170,-0.092654896,-1.066330676,4.637888315,0.634303823,0.425781024,0.660265777
AT1G68140,-0.092644762,-1.066323185,6.57782564,2.330299178,0.12687749,0.320041962
AT2G31490,-0.092594226,-1.066285834,6.405329077,1.526108844,0.216697379,0.445807479
AT5G65820,-0.092558145,-1.066259167,2.554009212,0.282669204,0.594957039,0.787105563
AT4G14950,-0.092530852,-1.066238996,5.37764984,1.421738891,0.233117402,0.464517122
AT4G30010,-0.092514147,-1.06622665,7.699379543,1.113243684,0.291377929,0.529406266
AT5G62640,-0.092472022,-1.066195517,5.729778686,1.531169251,0.215937046,0.444675008
AT3G60110,-0.092431933,-1.066165891,3.772557117,0.644457832,0.422101147,0.657105262
AT3G09740,-0.092379362,-1.066127041,6.896546199,2.830709448,0.092477499,0.260838313
AT1G03280,-0.092372998,-1.066122339,5.683657057,1.719967109,0.189697279,0.410535519
AT3G11810,-0.09235256,-1.066107235,5.287791435,0.996734686,0.31810191,0.558753967
AT4G02040,-0.09235244,-1.066107147,2.49764229,0.25045148,0.616757356,0.801205315
AT4G35250,-0.092332575,-1.066092467,4.113329103,0.643703892,0.422372738,0.657443443
AT3G57120,-0.092278495,-1.066052505,3.878433128,0.543506397,0.460983184,0.690818891
AT5G60730,-0.092266435,-1.066043594,3.094267489,0.280336778,0.596480565,0.788169082
AT2G40080,-0.092208902,-1.066001082,0.849458079,0.046469088,0.829325359,0.922299212
AT1G80960,-0.092198007,-1.065993031,1.96190424,0.197500955,0.65674561,0.826955207
AT3G19020,-0.092154062,-1.065960561,3.069439634,0.355314938,0.551119783,0.758583038
AT5G29000,-0.092110204,-1.065928157,4.934142323,1.001535863,0.316939159,0.557417708
AT5G14230,-0.091989478,-1.065838962,4.796385438,1.269224947,0.25991213,0.496550028
AT4G14240,-0.091903602,-1.06577552,4.917778928,0.869525383,0.351086736,0.592057619
AT5G59080,-0.091899964,-1.065772833,3.316165006,0.181591233,0.670009311,0.83435656
AT1G79970,-0.091869228,-1.065750128,5.446663267,0.920288896,0.337399129,0.578332451
AT3G51960,-0.091777577,-1.065682425,2.988927568,0.310069807,0.577637352,0.777164883
AT2G43240,-0.091760358,-1.065669706,4.668863503,1.110524898,0.291967876,0.530012802
AT2G29550,-0.091730401,-1.065647578,7.819813597,1.229512394,0.267501887,0.505064802
AT1G25375,-0.09171201,-1.065633994,4.119241425,0.623851011,0.429619816,0.663245385
AT1G51710,-0.091660566,-1.065595996,6.658525455,1.273487869,0.259113376,0.495730028
AT3G13780,-0.091614481,-1.065561957,2.924108892,0.343310235,0.557924695,0.763396057
AT2G24420,-0.091547084,-1.06551218,6.761838954,2.524165768,0.112114059,0.296305672
AT1G69010,-0.09153853,-1.065505862,4.751480672,1.281752036,0.257573528,0.493731939
AT2G39670,-0.091497128,-1.065475285,4.427204133,0.975482046,0.323316767,0.563754914
AT4G22745,-0.091478268,-1.065461356,2.936953556,0.341395198,0.559024992,0.764041495
AT5G03040,-0.091439872,-1.065433,7.086488412,1.366761495,0.242369084,0.476780704
AT1G68830,-0.091434028,-1.065428684,4.749214402,0.786987928,0.375012467,0.61579958
AT1G15110,-0.0914079,-1.065409389,5.88005155,1.308922006,0.252589925,0.488072537
AT1G49450,-0.091373147,-1.065383725,4.248742246,0.402509766,0.525795948,0.740636904
AT4G35300,-0.091340557,-1.065359658,6.474487091,1.970331452,0.160412685,0.369819075
AT1G34120,-0.091282946,-1.065317116,4.039288621,0.532288952,0.465646123,0.694323092
AT5G10970,-0.091125986,-1.06520122,4.485193841,0.514869917,0.473038272,0.70057505
AT3G63120,-0.0910984,-1.065180852,5.968126826,1.566118178,0.210771645,0.438639992
AT5G11250,-0.091055912,-1.065149482,3.416234436,0.408397567,0.52278396,0.738838461
AT1G51890,-0.091025121,-1.06512675,5.420948172,0.395934448,0.529196382,0.742797522
AT4G35290,-0.090978084,-1.065092023,2.971778955,0.362180459,0.547297751,0.756102561
AT5G07790,-0.090969605,-1.065085764,3.253638091,0.32952978,0.565936102,0.769030574
AT3G12490,-0.090962172,-1.065080276,7.094164339,2.600157051,0.106853126,0.286949108
AT5G42850,-0.090923179,-1.065051489,5.555824028,1.222491932,0.268872163,0.506286604
AT5G59290,-0.09088969,-1.065026767,7.130763353,1.700795583,0.192183965,0.413635783
AT5G06265,-0.090858906,-1.065004042,4.382753712,0.656956381,0.417636516,0.653439289
AT1G07260,-0.090806669,-1.064965481,4.618825102,0.705692859,0.400877397,0.638881094
AT1G02730,-0.090734582,-1.06491227,6.506158741,0.739965318,0.389671988,0.628677509
AT5G17910,-0.090713078,-1.064896396,6.749870854,2.423254398,0.119546344,0.308254276
AT4G17570,-0.090698567,-1.064885686,4.794601659,0.876546006,0.349149449,0.590133342
AT5G35450,-0.090677622,-1.064870225,6.020231952,1.568858476,0.210372868,0.438357126
AT5G64130,-0.090624339,-1.064830898,6.835809516,1.654221427,0.198385345,0.422439617
AT5G46910,-0.090569164,-1.064790175,4.996414824,1.208523925,0.271624652,0.509242089
AT1G73680,-0.090556228,-1.064780627,2.981590281,0.275224233,0.599848647,0.790074101
AT3G49490,-0.090551717,-1.064777298,7.13118124,1.748002746,0.186128012,0.405883598
AT4G14350,-0.090533708,-1.064764007,6.319730461,1.629124478,0.201824188,0.427397424
AT3G09370,-0.090500317,-1.064739363,3.798569326,0.549469225,0.45853465,0.688603641
AT1G77410,-0.090482142,-1.06472595,2.038063346,0.149254303,0.699248994,0.851122018
AT1G79610,-0.090345796,-1.064625329,5.153625952,1.146967933,0.284184768,0.521848557
AT2G37930,-0.09032565,-1.064610463,3.416029301,0.429672116,0.51214988,0.731406384
AT3G25110,-0.090303144,-1.064593855,5.854397714,1.218432754,0.269668444,0.507104389
AT5G37790,-0.090300586,-1.064591967,6.015285909,1.902993323,0.167743653,0.380254417
AT3G27870,-0.09027538,-1.064573368,4.700393214,0.765747989,0.381535669,0.62156397
AT5G15700,-0.090261165,-1.064562879,4.279220993,0.583904374,0.444785987,0.677246989
AT5G17020,-0.090237085,-1.06454511,7.588614731,2.663737167,0.102659276,0.279237616
AT1G75880,-0.090225254,-1.06453638,0.423870497,0.034399808,0.852858955,0.932907246
AT5G40080,-0.090207206,-1.064523063,3.168250079,0.3770944,0.539162381,0.75027739
AT5G38070,-0.090119326,-1.064458221,1.998207576,0.126747779,0.721828177,0.863638973
AT5G61510,-0.09010615,-1.064448499,5.698965415,1.741083053,0.187001655,0.406990443
AT3G55380,-0.090092336,-1.064438307,4.874322108,1.255964631,0.262416315,0.499494042
AT3G07370,-0.089954759,-1.064336806,4.349353576,0.736971751,0.390632665,0.629554725
AT3G49750,-0.089943063,-1.064328177,4.204098858,0.654024751,0.418677391,0.653940335
AT3G13910,-0.089909648,-1.064303526,4.507737474,0.771590544,0.379725454,0.62018002
AT3G12820,-0.089876763,-1.064279266,3.133163295,0.185476758,0.666708243,0.832950817
AT3G01720,-0.089866019,-1.064271341,7.387835366,1.336433142,0.247663972,0.483678286
AT1G12760,-0.089801263,-1.064223571,6.566504651,1.754368859,0.185328447,0.404801668
AT1G09850,-0.089648709,-1.064111044,4.995923588,0.811646612,0.367633877,0.608224962
AT4G12990,-0.089596995,-1.064072901,1.852598581,0.151620154,0.696991864,0.84975618
AT1G53163,-0.08955345,-1.064040784,1.844168088,0.112819332,0.736956917,0.872686685
AT5G48170,-0.089534037,-1.064026467,2.849534666,0.284809496,0.593566091,0.786195959
AT1G76390,-0.08952521,-1.064019956,4.873176083,1.278147032,0.258243848,0.494543147
AT3G47700,-0.089522749,-1.064018142,4.499347082,1.091822121,0.296067838,0.535028858
AT1G06140,-0.089503695,-1.064004089,1.253538667,0.10798642,0.742448318,0.875947758
AT4G34100,-0.089433269,-1.06395215,7.498587522,1.466098874,0.225962214,0.456409941
AT1G77740,-0.089424099,-1.063945388,5.866312649,1.650320884,0.198915263,0.423161971
AT5G02320,-0.089402091,-1.063929157,3.329029461,0.379614242,0.53780976,0.749526406
AT5G23440,-0.089349177,-1.063890136,2.952667113,0.271963448,0.602017706,0.791354331
AT4G17880,-0.089275823,-1.063836044,5.604305218,1.439490829,0.230221753,0.461233868
AT2G21400,-0.089251468,-1.063818085,0.546288267,0.047209309,0.827992454,0.921567575
AT1G08400,-0.08922883,-1.063801392,3.74503009,0.576449217,0.44770749,0.680039642
AT3G19340,-0.089127271,-1.063726508,5.87839416,1.50342722,0.22014478,0.450049785
AT4G17540,-0.089120666,-1.063721638,2.365856844,0.190396089,0.66258716,0.830155908
AT1G14380,-0.089086993,-1.063696811,5.924396171,1.145295045,0.284536232,0.522210897
AT3G44430,-0.089078332,-1.063690425,5.516255431,0.9926848,0.31908707,0.55964684
AT2G35820,-0.089018535,-1.063646338,0.171063685,0.028187302,0.866669233,0.940178266
AT4G32260,-0.088934121,-1.063584105,5.38272919,1.014889032,0.31373442,0.553704315
AT2G21340,-0.088872578,-1.063538735,4.702739443,0.671764805,0.412436992,0.649334362
AT5G59660,-0.088838522,-1.063513629,1.758516337,0.105028069,0.745877208,0.877977454
AT5G58300,-0.088781008,-1.063471233,6.186610696,1.455217107,0.227692665,0.45854485
AT3G04030,-0.088770933,-1.063463806,3.327030581,0.166050122,0.683646315,0.842025368
AT3G45710,-0.088710823,-1.063419497,6.47214941,0.32505056,0.568588135,0.770645836
AT4G26700,-0.088613437,-1.063347716,3.5505307,0.307628601,0.579139029,0.777639674
AT1G05190,-0.088573355,-1.063318173,4.291712644,0.565343314,0.452115316,0.68367554
AT5G05140,-0.088571229,-1.063316607,6.586179726,1.398070392,0.237046917,0.4697745
AT5G09590,-0.088448849,-1.063226412,6.526409965,0.765358494,0.38165678,0.621660059
AT4G14410,-0.088448249,-1.06322597,6.581451119,1.659137836,0.197719772,0.421336181
AT3G18990,-0.088424582,-1.063208528,5.954077637,1.865550409,0.171985568,0.385762742
AT2G40540,-0.088338138,-1.063144824,6.274048256,1.556675224,0.212152696,0.440277896
AT4G21860,-0.088298983,-1.063115971,4.848779599,0.956830103,0.327986825,0.568350533
AT3G26750,-0.088207741,-1.063048737,3.059855829,0.364849824,0.545825027,0.754875635
AT4G37380,-0.088160164,-1.063013681,1.902953748,0.146195057,0.702198344,0.852693766
AT2G39730,-0.088122324,-1.062985799,5.994233522,0.180136326,0.671256111,0.834877395
AT1G61667,-0.08811751,-1.062982253,4.041271578,0.598367957,0.439201403,0.672375954
AT3G22110,-0.088110588,-1.062977152,7.057935238,1.467131913,0.225798759,0.456206968
AT5G64940,-0.088083331,-1.062957069,6.721137685,0.970830978,0.324473023,0.564885092
AT4G24460,-0.088060065,-1.062939928,3.407697288,0.315598056,0.57426514,0.774928791
AT5G47710,-0.0880251,-1.062914167,4.314604314,0.624749041,0.429287968,0.66313476
AT5G02160,-0.087963395,-1.062868706,3.225738709,0.245248056,0.620441123,0.803589914
AT3G56190,-0.087921278,-1.062837678,7.067065192,2.884856445,0.089415976,0.25526076
AT5G25090,-0.087916851,-1.062834416,3.663603853,0.477241306,0.489674556,0.714760555
