Gene	Cluster
AT3G59850	2
AT3G52500	2
AT4G15530	2
AT3G03660	2
AT2G21510	2
AT5G24030	2
AT3G12540	2
AT3G09330	2
AT3G53980	2
AT4G38420	2
AT4G12440	2
AT1G30990	2
AT5G59070	2
AT1G54450	2
AT1G34520	2
AT2G31082	2
AT4G30560	2
AT5G64110	2
AT2G46860	2
AT3G07040	2
AT1G75880	2
AT3G17600	2
AT1G30850	2
AT4G11610	2
AT1G25240	2
AT3G02790	2
AT5G57500	2
AT4G02520	2
AT1G61255	2
AT4G02700	2
AT3G45660	2
AT5G16170	2
AT1G61950	2
AT4G14550	2
AT3G20557	2
AT3G07000	2
AT5G26300	2
AT2G37820	2
AT3G60470	2
AT4G33730	2
AT3G46690	2
AT5G48530	2
AT3G14060	3
AT5G39080	3
AT1G78830	3
AT1G25560	3
AT5G63270	3
AT4G34380	3
AT1G03850	3
AT5G02090	3
AT4G37610	3
AT5G61590	3
AT5G21940	3
AT4G13390	4
AT2G44110	4
AT5G63660	4
AT5G05500	4
AT3G49630	4
AT5G57625	4
AT3G10710	4
AT4G40090	4
AT3G62680	4
AT4G10310	4
AT4G39830	4
AT4G26010	4
AT1G30870	4
AT4G02270	4
AT5G24190	4
AT2G39040	4
AT1G01750	4
AT5G06990	4
AT5G64900	4
AT1G52050	4
AT4G39640	4
AT1G34540	4
AT4G28850	4
AT5G57540	4
AT1G54970	4
AT2G43600	4
AT1G01660	4
AT5G67400	4
AT5G57530	4
AT2G43870	4
AT3G18200	4
AT4G23810	4
AT1G56240	4
AT5G14740	4
AT3G10300	4
AT2G39400	4
AT5G54720	4
AT1G23060	4
AT1G07175	4
AT5G38700	4
AT1G05660	4
AT4G23515	4
AT1G06923	4
AT4G34580	4
AT5G22410	4
AT3G01730	4
AT4G20450	4
AT4G25790	4
AT5G26080	4
AT1G07680	4
AT1G11655	4
AT4G00680	4
AT1G79250	4
AT4G25220	4
AT4G27400	4
AT5G03640	4
AT1G16110	4
AT2G27550	4
AT2G41290	4
AT1G27740	4
AT4G30320	4
AT1G29740	4
AT4G23510	4
AT2G39980	4
AT1G19380	4
AT2G34930	4
AT4G38410	4
AT1G14960	4
AT2G20520	4
AT2G29000	4
AT5G43590	4
AT1G50050	4
AT4G15233	4
AT3G46420	4
AT4G01830	4
AT1G33890	4
AT1G43160	4
AT4G18940	4
AT5G26320	4
AT5G24140	4
AT3G19200	4
AT1G62280	4
AT1G34510	4
AT1G11920	4
AT2G22990	4
AT1G33790	4
AT3G29110	4
AT1G60110	4
AT2G22122	4
AT3G09940	4
AT1G61080	4
AT4G25310	4
AT3G46370	4
AT4G08620	4
AT5G21120	4
AT1G52060	4
AT1G09932	4
AT3G26300	5
AT4G04745	5
AT5G25620	5
AT2G22460	5
AT1G19025	5
AT5G10430	5
AT5G47450	5
AT3G24715	5
AT1G05880	5
AT2G13810	5
AT2G43050	5
AT1G64670	5
AT1G29660	5
AT5G65340	5
AT4G13890	5
AT5G58784	5
AT1G61840	5
AT3G19040	5
AT5G15180	5
AT2G02950	5
AT5G62330	5
AT3G56220	5
AT2G04480	5
AT2G20880	5
AT3G26290	5
AT5G07990	5
AT3G59370	5
AT4G23870	5
AT4G22217	5
AT1G75720	5
AT1G77530	5
AT1G62510	5
AT3G51600	5
AT3G21680	5
AT1G29100	5
AT2G18550	5
AT2G04070	5
AT1G53610	5
AT5G41070	5
AT5G10100	5
AT5G65390	5
AT5G13320	5
AT2G20750	5
AT5G52810	5
AT1G26945	5
AT4G04750	5
AT4G33220	5
AT2G21900	5
AT4G22460	5
AT4G11020	5
AT3G16370	5
AT5G26690	5
AT3G61390	5
AT4G15630	5
AT1G78230	5
AT3G56400	5
AT2G29250	5
AT2G29220	5
AT3G28750	5
AT4G39000	5
AT3G16150	5
AT4G12480	5
AT4G26320	5
AT4G12470	5
AT5G53250	5
AT3G25717	5
AT5G40990	6
AT5G57220	6
AT1G72416	6
AT5G46960	6
AT2G38920	6
AT1G74710	6
AT5G39670	6
AT1G19250	6
AT2G04050	6
AT3G07600	6
AT5G65600	6
AT4G21380	6
AT4G11170	6
AT3G28510	6
AT3G60420	6
AT5G40010	6
AT3G47480	6
AT1G01560	6
AT3G56891	6
AT1G10370	6
AT3G07720	6
AT5G26920	6
AT1G63560	6
AT4G38340	6
AT3G13784	6
AT4G04840	6
AT3G55790	6
AT5G26120	6
AT4G23496	6
AT4G36880	6
AT3G17130	6
AT1G58320	6
AT5G38910	6
AT2G44290	6
AT2G29350	6
AT1G18970	6
AT2G15220	6
AT5G48400	6
AT1G26390	6
AT1G13520	6
AT3G17609	6
AT4G15700	7
AT1G56120	7
AT5G16900	7
AT3G59710	7
AT2G16380	7
AT2G36110	7
AT4G33720	7
AT5G38550	7
AT1G20490	7
AT2G44740	7
AT4G10530	7
AT3G43890	7
AT3G23800	7
AT5G04730	7
AT1G76620	7
AT4G22230	7
AT3G61400	7
